epoch,accuracy,loss,val_accuracy,val_loss
0,0.92477477,0.24173994159953227,0.9268656,0.2364684709818067
1,0.924969,0.2350384133798953,0.9277331,0.23599225450904526
2,0.9252139,0.23156954725958648,0.92692846,0.23041282617456876
3,0.9256222,0.2278081013675444,0.9282725,0.2261037532533225
4,0.9263588,0.22309480488646283,0.9283264,0.22060394954211193
5,0.9274153,0.21700803145080436,0.92903215,0.21202500973003435
6,0.9284865,0.21152490835072424,0.93123025,0.206685202562983
7,0.9294488,0.20689712216170789,0.93075377,0.2056634851873208
8,0.9298347,0.2028091829531747,0.9295671,0.20452996333033666
9,0.9306578,0.1997498057929942,0.93075377,0.20077794062676368
10,0.9311476,0.19660556995325795,0.9295311,0.199827987476744
11,0.931738,0.19379490741063732,0.92914456,0.20107735152288417
12,0.9322611,0.191117926120007,0.92823654,0.2066445383410025
13,0.932774,0.18839024267651447,0.93062794,0.19770886043083166
14,0.9333529,0.18625540334785012,0.92512596,0.21708971619880338
15,0.9338798,0.18401908668929642,0.926915,0.1995821644127579
16,0.9345587,0.18136209923054067,0.9249372,0.20276416531246538
17,0.93504846,0.1791782931549646,0.928704,0.19457434165210719
18,0.93566906,0.17734826404920093,0.92914903,0.19786278354174136
19,0.9362274,0.17511685792217685,0.9275488,0.1977070198210451
20,0.93672293,0.1731912671371802,0.9326102,0.18709302316120413
21,0.9373249,0.1714600088933434,0.93211126,0.1874936923154816
22,0.937614,0.16980530045287376,0.9313741,0.1872736048601663
23,0.93796146,0.16829032253109102,0.9299177,0.18471239168236028
24,0.9383756,0.16671311840928474,0.930102,0.18770356594768253
25,0.9389481,0.16527800867308992,0.9285377,0.18700543618775067
26,0.9393129,0.1640140865701696,0.93101,0.185728211042387
27,0.93960327,0.16275843133180803,0.92330545,0.203374527786428
28,0.93978727,0.16179561699920247,0.9328035,0.18136472620917052
29,0.94021803,0.1609304931697918,0.9269015,0.19307331466026936
30,0.94066614,0.1598028579583595,0.92538667,0.19450619863419888
31,0.94075656,0.15915731088194707,0.92996264,0.1844589073158984
32,0.94136554,0.15796540354011457,0.9305245,0.1871842774603391
33,0.9415207,0.15687331432369453,0.92977834,0.1833801787587971
34,0.94180274,0.15624440056756508,0.9233549,0.1977564710269133
35,0.9419393,0.15563983733841566,0.92931086,0.1834272007079784
36,0.9424099,0.1545162439940229,0.9338149,0.17979611801558174
