epoch,accuracy,loss
0,0.67581916,0.6026767542466612
0,0.762029,0.4955371941650802
1,0.8015961,0.4303113624590687
2,0.8161719,0.40380177944503065
3,0.82550514,0.38667869635895963
4,0.83221895,0.3736543230011959
5,0.8379621,0.3632015108201484
6,0.8421907,0.3550139509044816
7,0.846165,0.34739048039193415
8,0.84939396,0.341102152197422
9,0.8522699,0.33565827186242453
10,0.85449886,0.331014497601165
11,0.8568238,0.3265864914648851
12,0.8586968,0.3224988217829856
13,0.8605419,0.31910768678977747
14,0.8619924,0.3157806231663098
15,0.8632017,0.3134514905904022
16,0.86490595,0.3105440845957025
17,0.8654882,0.30870075252017987
18,0.8666958,0.30655007943877793
19,0.8677617,0.30437804831099463
20,0.86851054,0.30272586646732796
21,0.8691661,0.3009816282503604
22,0.8701479,0.2996564439171797
23,0.87101245,0.2981610157587297
24,0.8715094,0.296673931218806
25,0.8721985,0.2953662900739824
26,0.8728823,0.2941567417584892
27,0.8734448,0.29274203702297735
28,0.8740945,0.29141493947414976
29,0.8745805,0.29080430419204156
30,0.875256,0.28937907545791425
31,0.8758081,0.28833297059193375
32,0.8763032,0.287513311360876
33,0.8766215,0.28651607706687204
34,0.87677586,0.2858703772243617
35,0.8776727,0.2846388057373541
36,0.8778502,0.2839033676100083
37,0.87812907,0.2834703398284531
38,0.87870353,0.2822138439062025
39,0.879096,0.28154024491538543
40,0.8796918,0.28035953683800147
41,0.8796995,0.2798169852172837
42,0.88022685,0.27934239670465516
43,0.88055074,0.27834879766725906
44,0.8810058,0.27757511562610226
45,0.8812703,0.27689694918523616
46,0.8815934,0.27637947468944374
47,0.8818741,0.27567752956900154
48,0.88210094,0.2749627603739751
